hash,api_current,producer_current,name
8777d8db,0,0,mainnet-1.1.1
742618be,0,0,mainnet-1.1.3
2d3bb003,0,0,mainnet-1.1.4
b8c1b2c2,0,0,mainnet-1.1.6
4da680bd,0,0,eosio-v1.2.0-dirty
2ad41277,0,0,eosio-v1.2.2
cb3645ae,0,0,mainnet-1.2.3
e87d245d,0,0,eosio-v1.2.3
bbc8ff76,0,0,mainnet-1.2.4
cb3645ae,0,0,mainnet-1.2.3
cc9decff,0,0,eosio-v1.2.4
78708df4,0,0,mainnet-1.2.5
c71d2245,0,0,mainnet-1.3.0
mainnet-1.2.3,0,0,mainnet-1.2.3
v1.2.3,0,0,eosio-1.2.3
mainnet-1.2.4,0,0,mainnet-1.2.4
v1.2.4,0,0,eosio-1.2.4
mainnet-1.2.5,0,0,mainnet-1.2.5
v1.2.5,0,0,eosio-1.2.5
mainnet-1.2.6,0,0,mainnet-1.2.6
v1.2.6,0,0,eosio-1.2.6
mainnet-1.3.0,0,0,mainnet-1.3.0
v1.3.0,0,0,eosio-1.3.0
mainnet-1.3.1,0,0,mainnet-1.3.1
v1.3.1,0,0,eosio-1.3.1
mainnet-1.3.2,0,0,mainnet-1.3.2
v1.3.2,0,0,eosio-1.3.2
mainnet-1.3.3,0,0,mainnet-1.3.3
v1.3.3,0,0,eosio-1.3.3
mainnet-1.4.0,0,0,mainnet-1.4.0
v1.4.0,0,0,eosio-1.4.0
mainnet-1.4.1,0,0,mainnet-1.4.1
v1.4.1,0,0,eosio-1.4.1
mainnet-1.4.2,0,0,mainnet-1.4.2
v1.4.2,0,1,eosio-1.4.2
mainnet-1.4.3,0,1,mainnet-1.4.3
v1.4.3,0,1,eosio-1.4.3
mainnet-1.4.4,0,1,mainnet-1.4.4
v1.4.4,0,1,eosio-1.4.4
mainnet-1.5.0,0,1,mainnet-1.5.0
v1.5.0-rc1,0,0,eosio-1.5.0-rc1
v1.5.0-rc2,0,0,eosio-1.5.0-rc2
v1.5.0,0,1,eosio-1.5.0
mainnet-1.5.1,0,1,mainnet-1.5.1
v1.5.1,0,1,eosio-1.5.1
mainnet-1.5.2,0,1,mainnet-1.5.2
v1.5.2,0,1,eosio-1.5.2
mainnet-1.5.3,1,1,mainnet-1.5.3
v1.5.3,1,1,eosio-1.5.3
mainnet-1.6.0,1,1,mainnet-1.6.0
v1.6.0-rc1,0,0,eosio-1.6.0-rc1
v1.6.0-rc2,1,1,eosio-1.6.0-rc2
v1.6.0,1,1,eosio-1.6.0
mainnet-1.6.1,1,1,mainnet-1.6.1
v1.6.1,1,1,eosio-1.6.1
